ML_Modeli,Accuracy,F1_Score,Recall,Precision
SVM,0.9963404526493159,0.9965916708337395,0.9964480175338174,0.9967506011433118
Random Forest,0.9810104659027379,0.9828782769448186,0.9802172562153828,0.9859742349580959
KNN (k=3),0.9867473600669318,0.9880648096556464,0.9859292452254236,0.9904752742009635
Gradient Boosting,0.9791318226778166,0.9805923178449358,0.9784418328062016,0.9830061743887928
Yapay Sinir Aglari (YSA),0.9955494501198281,0.9957692936002932,0.9955947080898374,0.9959613356112549
