DL_Model,ML_Model,Standard_Accuracy,GroupAware_Accuracy,Accuracy_Delta,Accuracy_Delta_Percentage_Points,Standard_F1,GroupAware_F1,F1_Delta,F1_Delta_Percentage_Points
VGG16,SVM,0.9956480688708786,0.9959454404907364,0.00029737161985776694,0.029737161985776694,0.9957187947642387,0.9960420209394899,0.0003232261752511567,0.03232261752511567
VGG16,Random Forest,0.9946592424046946,0.9935713087818476,-0.0010879336228469816,-0.10879336228469816,0.9949784469950487,0.993955257359519,-0.0010231896355297199,-0.10231896355297199
VGG16,KNN (k=3),0.9955493523807288,0.9949563208072547,-0.0005930315734741232,-0.059303157347412316,0.9959334707914221,0.9952772973054198,-0.0006561734860023316,-0.06561734860023316
VGG16,MLP,0.9983185942771803,0.9974288266537196,-0.0008897676234607133,-0.08897676234607133,0.9983010133362986,0.9974162228664241,-0.0008847904698745523,-0.08847904698745523
InceptionV3,SVM,0.9963404526493159,0.9961426288092475,-0.0001978238400683896,-0.01978238400683896,0.9965916708337395,0.9964943004339861,-9.737039975332706e-05,-0.009737039975332706
InceptionV3,Random Forest,0.9810104659027379,0.9798238653115285,-0.0011866005912093414,-0.11866005912093414,0.9828782769448186,0.981800322112564,-0.0010779548322545907,-0.10779548322545907
InceptionV3,KNN (k=3),0.9867473600669318,0.9871424708825755,0.00039511081564369555,0.039511081564369555,0.9880648096556464,0.9885145565792832,0.0004497469236368623,0.04497469236368623
InceptionV3,MLP,0.9955494501198281,0.9952526166689403,-0.0002968334508878234,-0.029683345088782342,0.9957692936002932,0.9955383455977589,-0.0002309480025343147,-0.02309480025343147
